id,name,price,period,treatments,frequency,features,popular,order_index,is_published,created_at,updated_at
4d12750f-fcf1-427c-865c-9a93d73d7953,Silber,300€,pro Monat,72 Behandlungen,2x pro Woche,,f,0,t,2025-09-25 23:56:42.977424+00,2025-09-25 23:56:42.977424+00
4cae7f36-0a29-46d2-a62b-4fbf738ef750,Gold,400€,pro Monat,106 Behandlungen,3x pro Woche,,t,0,t,2025-09-25 23:56:42.977424+00,2025-09-25 23:56:42.977424+00
6ca00e80-955b-495a-89cf-3dbdf656070f,Platin,500€,pro Monat,150 Behandlungen,4x pro Woche,,f,0,t,2025-09-25 23:56:42.977424+00,2025-09-25 23:56:42.977424+00
